queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
2399599952233934428,{},"{6.614013322,6.228690711,6.018367872,6.447511168}",{},"{0.165695604,0.145224598,0.14631873,0.154608754}",{},"{3.687320882270724,3.687320882270724,3.687320882270724,3.687320882270724}",0,4
7721649514993682563,{},"{0.335557573,0.318834546,0.332619315,0.327647014}",{},"{0.213851897,0.189221123,0.194751245,0.200069207}",{},"{1.6332059288854397,1.6332059288854397,1.6332059288854397,1.6332059288854397}",0,4
-3485514449383768787,{},"{4.9806636090000005,4.781336726,4.622240328,4.698432957}",{},"{0.014363355,0.016053189,0.015348885,0.014768462}",{},"{2.0015903427973565,2.0015903427973565,2.0015903427973565,2.0015903427973565}",0,4
-196995888411579451,{},"{0.181402522,3.437731666,0.174889512,3.379612524,0.195530545,3.324970108,0.171127089,3.273418048}",{},"{0.006596298,0.00670509,0.006108911,0.00595555,0.006334233,0.006407903,0.006087513,0.006129293}",{},"{1.8070997464728777,2.3597186421871235,1.8070997464728777,2.3597186421871235,1.8070997464728777,2.3597186421871235,1.8070997464728777,2.3597186421871235}",0,8
1524343667767028728,{},"{3.293187484,3.587679009,3.306531347,3.366792583}",{},"{0.115998027,0.12607023,0.116039751,0.117083396}",{},"{3.2539217710541113,3.2539217710541113,3.2539217710541113,3.2539217710541113}",0,4
-7678011977838348522,{},"{4.526020284,4.6377526079999996,4.123347352,4.655701606}",{},"{0.028423751,0.024943288,0.024674101,0.0263939}",{},"{1.7604253314154241,1.7604253314154241,1.7604253314154241,1.7604253314154241}",0,4
99813637196177449,{},"{1.3230325010000001,1.3486001220000001,1.151692028,1.35724237}",{},"{0.014734362,0.014849151,0.012762552,0.015183055}",{},"{2.2502792770514493,2.2502792770514493,2.2502792770514493,2.2502792770514493}",0,4
4778871310081631647,{},"{0.98681922,0.91476413,0.970965226,0.967181274,1.034224465,1.01035906,0.94400668,0.917848019}",{},"{0.030115917,0.030165321,0.031150211,0.028471025,0.030521499,0.031105098,0.028923118,0.028496775}",{},"{1.6012741613123285,1.0784697855668337,1.6012741613123285,1.0784697855668337,1.6012741613123285,1.0784697855668337,1.6012741613123285,1.0784697855668337}",0,8
5632455736553151255,{},"{0.125501952,0.127924554,0.140906243,0.13163594}",{},"{0.019789786,0.020194223,0.023519833,0.019891774}",{},"{0.9088086806390481,0.9088086806390481,0.9088086806390481,0.9088086806390481}",0,4
-7971004576533452411,{},"{0.086567862,0.092846541,0.100340375,0.084847575}",{},"{0.055971816,0.055560026,0.053863316,0.051098255}",{},"{2.514859056966448,2.514859056966448,2.514859056966448,2.514859056966448}",0,4
7519382914444524780,{},"{4.165934119,3.757090362,3.677233535,4.023105527}",{},"{0.166547635,0.147261723,0.159736438,0.167247723}",{},"{3.4769174141045034,3.4769174141045034,3.4769174141045034,3.4769174141045034}",0,4
9106003620751043838,{},"{0.249711611,0.224687225,0.228571341,0.225654732}",{},"{0.006971342,0.006339836,0.006232182,0.006101238}",{},"{2.4182025687226343,2.4182025687226343,2.4182025687226343,2.4182025687226343}",0,4
